Compound Name, 14 01a, 14 02a, 14 03a, 14 04a, 14 05a, 14 06a, 14 07a, 14 08a, 14 09a, 14 10a, 14 11a, 14 12a, 14 13a, 14 14a, 14 15a, 14 16a, 14 17a, 14 18a, 14 19a, 14 20a, 14 21a, 14 22a, 14 23a, 14 24a, 14 25a, 14 26a, 14 27a, 14 28a, 14 29a, 14 30a, 14 31a, 14 32a, 14 33a, 14 34a, 14 36a, 14 01b, 14 02b, 14 03b, 14 04b, 14 05b, 14 06b, 14 07b, 14 08b, 14 09b, 14 10b, 14 11b, 14 12b, 14 13b, 14 14b, 14 15b, 14 16b, 14 17b, 14 18b, 14 19b, 14 20b, 14 21b, 14 22b, 14 23b, 14 24b, 14 25b, 14 26b, 14 27b, 14 28b, 14 29b, 14 30b, 14 31b, 14 32b, 14 33b, 14 34b, 14 36b, 14 01c, 14 02c, 14 03c, 14 04c, 14 05c, 14 06c, 14 07c, 14 08c, 14 09c, 14 10c, 14 11c, 14 12c, 14 13c, 14 14c, 14 15c, 14 16c, 14 17c, 14 18c, 14 19c, 14 20c, 14 21c, 14 22c, 14 23c, 14 24c, 14 25c, 14 26c, 14 27c, 14 28c, 14 29c, 14 30c, 14 31c, 14 32c, 14 33c, 14 34c, 14 36c
Cl,53.878,23.718,23.779,10.614,16.674,9.152,32.156,10.442,8.821,16.299,29.269,19.612,19.905,13.922,14.4415,10.163,10.587,14.482,11.874,24.509,16.223,15.423,5.502,2.794,24.504,24.605,24.894,18.62,15.852,15.584,15.069,7.995,22.2595,4.062,22.4605,53.878,23.718,23.779,10.614,16.674,9.152,32.156,10.442,8.821,16.299,29.269,19.612,19.905,13.922,14.4415,10.163,10.587,14.482,11.874,24.509,16.223,15.423,5.502,2.794,24.504,24.605,24.894,18.62,15.852,15.584,15.069,7.995,22.2595,4.062,22.4605,53.878,23.718,23.779,10.614,16.674,9.152,32.156,10.442,8.821,16.299,29.269,19.612,19.905,13.922,14.4415,10.163,10.587,14.482,11.874,24.509,16.223,15.423,5.502,2.794,24.504,24.605,24.894,18.62,15.852,15.584,15.069,7.995,22.2595,4.062,22.4605
SO4,17.04,58.022,61.991,7.446,23.57,9.337,12.673,61.789,12.696,11.527,18.298,13.675,15.965,9.311,12.8175,8.597,8.987,16.828,19.941,13.024,8.895,7.787,9.632,3.821,13.274,13.637,13.05,14.08,18.626,10.0725,13.888,6.337,21.615,38.519,11.0705,17.04,58.022,61.991,7.446,23.57,9.337,12.673,61.789,12.696,11.527,18.298,13.675,15.965,9.311,12.8175,8.597,8.987,16.828,19.941,13.024,8.895,7.787,9.632,3.821,13.274,13.637,13.05,14.08,18.626,10.0725,13.888,6.337,21.615,38.519,11.0705,17.04,58.022,61.991,7.446,23.57,9.337,12.673,61.789,12.696,11.527,18.298,13.675,15.965,9.311,12.8175,8.597,8.987,16.828,19.941,13.024,8.895,7.787,9.632,3.821,13.274,13.637,13.05,14.08,18.626,10.0725,13.888,6.337,21.615,38.519,11.0705
MCs,0.65,0.748,0.67,0.34,0.438,0.005,0.493,0.678,20,0.69,1.34,0.433,0.69,0.66,1.817,0.653,6.922,1.628,0.425,0.625,6.108,4.977,0.358,0.533,0.335,0.515,0.558,2.615,0.377,0.545,0.767,0.695,0.855,0.675,0.567,0.65,0.748,0.67,0.34,0.438,0.005,0.493,0.678,20,0.69,1.34,0.433,0.69,0.66,1.817,0.653,6.922,1.628,0.425,0.625,6.108,4.977,0.358,0.533,0.335,0.515,0.558,2.615,0.377,0.545,0.767,0.695,0.855,0.675,0.567,0.65,0.748,0.67,0.34,0.438,0.005,0.493,0.678,20,0.69,1.34,0.433,0.69,0.66,1.817,0.653,6.922,1.628,0.425,0.625,6.108,4.977,0.358,0.533,0.335,0.515,0.558,2.615,0.377,0.545,0.767,0.695,0.855,0.675,0.567
CYN,0.535238977,0.129658984,0.28837243,0.224703396,0.252800992,0.204488587,0.210163249,0.379784136,0.210011622,0.085785442,0.128065666,0.263695859,0.171913033,0.142892601,0.144578866,0.362464411,0.125467357,0.128603367,0.110514723,0.2691693,0.247797326,0.36870615,0.32543913,0.327182012,0.159750444,0.255627025,0.288803819,0.451280143,0.139413852,0.182389613,0.605619506,0.475138836,0.234784102,0.181703642,0.494619155,0.535238977,0.129658984,0.28837243,0.224703396,0.252800992,0.204488587,0.210163249,0.379784136,0.210011622,0.085785442,0.128065666,0.263695859,0.171913033,0.142892601,0.144578866,0.362464411,0.125467357,0.128603367,0.110514723,0.2691693,0.247797326,0.36870615,0.32543913,0.327182012,0.159750444,0.255627025,0.288803819,0.451280143,0.139413852,0.182389613,0.605619506,0.475138836,0.234784102,0.181703642,0.494619155,0.535238977,0.129658984,0.28837243,0.224703396,0.252800992,0.204488587,0.210163249,0.379784136,0.210011622,0.085785442,0.128065666,0.263695859,0.171913033,0.142892601,0.144578866,0.362464411,0.125467357,0.128603367,0.110514723,0.2691693,0.247797326,0.36870615,0.32543913,0.327182012,0.159750444,0.255627025,0.288803819,0.451280143,0.139413852,0.182389613,0.605619506,0.475138836,0.234784102,0.181703642,0.494619155
16s,3.55E+06,2.54E+06,4.30E+06,1.32E+07,4.04E+07,6.71E+06,8.58E+06,9.44E+06,1.34E+07,4.82E+06,1.48E+07,1.19E+08,1.88E+08,1.50E+07,5.37E+07,2.73E+06,8.09E+06,4.44E+06,8.90E+06,9.57E+06,1.40E+06,2.07E+06,4.08E+06,6.85E+06,1.28E+07,1.18E+07,1.61E+07,7.36E+06,3.31E+07,2.78E+07,2.71E+07,2.41E+07,1.08E+06,0.00E+00,5.07E+07,3.55E+06,2.54E+06,4.30E+06,1.32E+07,4.04E+07,6.71E+06,8.58E+06,9.44E+06,1.34E+07,4.82E+06,1.48E+07,1.19E+08,1.88E+08,1.50E+07,5.37E+07,2.73E+06,8.09E+06,4.44E+06,8.90E+06,9.57E+06,1.40E+06,2.07E+06,4.08E+06,6.85E+06,1.28E+07,1.18E+07,1.61E+07,7.36E+06,3.31E+07,2.78E+07,2.71E+07,2.41E+07,1.08E+06,0.00E+00,5.07E+07,3.55E+06,2.54E+06,4.30E+06,1.32E+07,4.04E+07,6.71E+06,8.58E+06,9.44E+06,1.34E+07,4.82E+06,1.48E+07,1.19E+08,1.88E+08,1.50E+07,5.37E+07,2.73E+06,8.09E+06,4.44E+06,8.90E+06,9.57E+06,1.40E+06,2.07E+06,4.08E+06,6.85E+06,1.28E+07,1.18E+07,1.61E+07,7.36E+06,3.31E+07,2.78E+07,2.71E+07,2.41E+07,1.08E+06,0.00E+00,5.07E+07
mcyA,1.75E+04,9.74E+03,1.61E+04,1.43E+04,0.00E+00,2.53E+04,0.00E+00,0.00E+00,1.76E+04,0.00E+00,6.49E+04,6.48E+04,5.89E+04,9.16E+03,1.95E+05,6.00E+04,3.31E+05,3.35E+04,2.52E+04,3.70E+04,1.09E+04,2.74E+04,8.34E+03,0.00E+00,5.20E+04,4.12E+04,1.15E+04,2.28E+05,3.82E+04,1.96E+04,6.62E+04,0.00E+00,5.16E+03,0.00E+00,4.82E+03,1.75E+04,9.74E+03,1.61E+04,1.43E+04,0.00E+00,2.53E+04,0.00E+00,0.00E+00,1.76E+04,0.00E+00,6.49E+04,6.48E+04,5.89E+04,9.16E+03,1.95E+05,6.00E+04,3.31E+05,3.35E+04,2.52E+04,3.70E+04,1.09E+04,2.74E+04,8.34E+03,0.00E+00,5.20E+04,4.12E+04,1.15E+04,2.28E+05,3.82E+04,1.96E+04,6.62E+04,0.00E+00,5.16E+03,0.00E+00,4.82E+03,1.75E+04,9.74E+03,1.61E+04,1.43E+04,0.00E+00,2.53E+04,0.00E+00,0.00E+00,1.76E+04,0.00E+00,6.49E+04,6.48E+04,5.89E+04,9.16E+03,1.95E+05,6.00E+04,3.31E+05,3.35E+04,2.52E+04,3.70E+04,1.09E+04,2.74E+04,8.34E+03,0.00E+00,5.20E+04,4.12E+04,1.15E+04,2.28E+05,3.82E+04,1.96E+04,6.62E+04,0.00E+00,5.16E+03,0.00E+00,4.82E+03
ANA,0,0,0,0,0,0,0,0.338842813,0.140250227,0,0,0,0,0.02335349,1.270276597,0,0,0,0,0,0.043336401,0,0,0,0,0,0,0,0,0.36800071,0,0,0,0.053954177,0.137765008,0,0,0,0,0,0,0,0.338842813,0.140250227,0,0,0,0,0.02335349,1.270276597,0,0,0,0,0,0.043336401,0,0,0,0,0,0,0,0,0.36800071,0,0,0,0.053954177,0.137765008,0,0,0,0,0,0,0,0.338842813,0.140250227,0,0,0,0,0.02335349,1.270276597,0,0,0,0,0,0.043336401,0,0,0,0,0,0,0,0,0.36800071,0,0,0,0.053954177,0.137765008
1_1.519_59.0246,600,203440.3,600,600,600,600,170913.9,262442.2,111675.3,211477,600,600,600,600,284629.5,140365.9,600,233349.2,600,600,600,200481.4,81408.93,600,600,600,600,600,172434.4,227159.5,600,600,600,600,600,600,203440.3,600,600,600,600,170913.9,262442.2,111675.3,211477,600,600,600,600,284629.5,140365.9,600,233349.2,600,600,600,200481.4,81408.93,600,600,600,600,600,172434.4,227159.5,600,600,600,600,600,600,203440.3,600,600,600,600,170913.9,262442.2,111675.3,211477,600,600,600,600,284629.5,140365.9,600,233349.2,600,600,600,200481.4,81408.93,600,600,600,600,600,172434.4,227159.5,600,600,600,600,600
2_2.29_60.0274,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,935894.8,600,26487.26,600,7233.427,600,600,4682.178,600,600,198042.2,72240.7,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,935894.8,600,26487.26,600,7233.427,600,600,4682.178,600,600,198042.2,72240.7,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,935894.8,600,26487.26,600,7233.427,600,600,4682.178,600,600,198042.2,72240.7,600,600,600
3_0.235_61.9703,600,7018.842,457101.8,600,600,4416.485,600,600,600,600,600,600,600,443933.6,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,7018.842,457101.8,600,600,4416.485,600,600,600,600,600,600,600,443933.6,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,7018.842,457101.8,600,600,4416.485,600,600,600,600,600,600,600,443933.6,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600
4_0.477_61.9705,755758.7,600,600,1004134,600,600,770622.9,882510.4,600,930110.6,600,600,600,31876.32,600,600,506251.5,901563.6,860163.4,886582.9,600,897292.9,600,600,600,598173.4,600,589010.5,600,600,685056.7,2990125,600,600,915084.8,755758.7,600,600,1004134,600,600,770622.9,882510.4,600,930110.6,600,600,600,31876.32,600,600,506251.5,901563.6,860163.4,886582.9,600,897292.9,600,600,600,598173.4,600,589010.5,600,600,685056.7,2990125,600,600,915084.8,755758.7,600,600,1004134,600,600,770622.9,882510.4,600,930110.6,600,600,600,31876.32,600,600,506251.5,901563.6,860163.4,886582.9,600,897292.9,600,600,600,598173.4,600,589010.5,600,600,685056.7,2990125,600,600,915084.8
5_0.457_61.9706,600,599591.7,317245.9,600,372048.6,290232.3,600,283852.7,448838.5,600,600,600,19444.73,322176.3,600,211424.2,676047.8,600,308643,600,413547.4,24931.75,231374.1,317198.7,504193.4,600,458002.3,600,489627.7,600,378724.1,600,428867,222656.9,600,600,599591.7,317245.9,600,372048.6,290232.3,600,283852.7,448838.5,600,600,600,19444.73,322176.3,600,211424.2,676047.8,600,308643,600,413547.4,24931.75,231374.1,317198.7,504193.4,600,458002.3,600,489627.7,600,378724.1,600,428867,222656.9,600,600,599591.7,317245.9,600,372048.6,290232.3,600,283852.7,448838.5,600,600,600,19444.73,322176.3,600,211424.2,676047.8,600,308643,600,413547.4,24931.75,231374.1,317198.7,504193.4,600,458002.3,600,489627.7,600,378724.1,600,428867,222656.9,600
6_2.644_61.9707,600,600,46075.37,600,600,600,600,600,600,600,600,600,173228.5,302051.5,600,600,134582.6,600,600,600,600,600,600,97441.73,297834.8,600,611920.6,600,600,600,600,600,600,676115.7,600,600,600,46075.37,600,600,600,600,600,600,600,600,600,173228.5,302051.5,600,600,134582.6,600,600,600,600,600,600,97441.73,297834.8,600,611920.6,600,600,600,600,600,600,676115.7,600,600,600,46075.37,600,600,600,600,600,600,600,600,600,173228.5,302051.5,600,600,134582.6,600,600,600,600,600,600,97441.73,297834.8,600,611920.6,600,600,600,600,600,600,676115.7,600
7_4.341_61.9709,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600
8_3.882_61.974,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,516153.2,600,600,423566.5,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,516153.2,600,600,423566.5,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,516153.2,600,600,423566.5
9_0.574_65.9647,600,600,600,600,600,51462.23,600,192613.8,600,159319,600,600,122009.4,600,600,600,42711.59,600,41836.18,87747.77,600,600,113869.2,600,600,600,19662.82,600,600,600,600,600,600,600,600,600,600,600,600,600,51462.23,600,192613.8,600,159319,600,600,122009.4,600,600,600,42711.59,600,41836.18,87747.77,600,600,113869.2,600,600,600,19662.82,600,600,600,600,600,600,600,600,600,600,600,600,600,51462.23,600,192613.8,600,159319,600,600,122009.4,600,600,600,42711.59,600,41836.18,87747.77,600,600,113869.2,600,600,600,19662.82,600,600,600,600,600,600,600,600
10_6.799_68.064,40493.72,55593.48,57871.71,58867.21,62005.45,34180.61,61232.84,53304.61,60408.98,59211.84,59612.11,62015.13,57605.45,64236.18,66186.22,66228.74,50733.09,56468.82,63314.06,63358.64,4013.517,64249.09,56467.58,54912.49,59744.75,58031.66,61525.2,56725.79,68046.58,60642.86,60659.14,55072.13,57901.35,55717.12,5288.98,40493.72,55593.48,57871.71,58867.21,62005.45,34180.61,61232.84,53304.61,60408.98,59211.84,59612.11,62015.13,57605.45,64236.18,66186.22,66228.74,50733.09,56468.82,63314.06,63358.64,4013.517,64249.09,56467.58,54912.49,59744.75,58031.66,61525.2,56725.79,68046.58,60642.86,60659.14,55072.13,57901.35,55717.12,5288.98,40493.72,55593.48,57871.71,58867.21,62005.45,34180.61,61232.84,53304.61,60408.98,59211.84,59612.11,62015.13,57605.45,64236.18,66186.22,66228.74,50733.09,56468.82,63314.06,63358.64,4013.517,64249.09,56467.58,54912.49,59744.75,58031.66,61525.2,56725.79,68046.58,60642.86,60659.14,55072.13,57901.35,55717.12,5288.98
11_5.42_70.0352,119209.3,600,600,600,342389.5,600,177559,600,600,600,600,600,221220.8,600,600,114620.1,600,125803.8,103064.4,600,600,600,600,600,600,600,117705.9,600,379255.7,111466.4,685996.9,600,600,600,600,119209.3,600,600,600,342389.5,600,177559,600,600,600,600,600,221220.8,600,600,114620.1,600,125803.8,103064.4,600,600,600,600,600,600,600,117705.9,600,379255.7,111466.4,685996.9,600,600,600,600,119209.3,600,600,600,342389.5,600,177559,600,600,600,600,600,221220.8,600,600,114620.1,600,125803.8,103064.4,600,600,600,600,600,600,600,117705.9,600,379255.7,111466.4,685996.9,600,600,600,600
12_5.491_70.0361,600,600,93769.52,600,600,71134.4,600,600,600,600,60887.39,600,600,92372.08,69931.45,600,48887.03,600,600,600,600,56042.89,90707,42636.56,88580.94,600,600,64163.4,600,600,600,97243.82,600,48636.74,55229.51,600,600,93769.52,600,600,71134.4,600,600,600,600,60887.39,600,600,92372.08,69931.45,600,48887.03,600,600,600,600,56042.89,90707,42636.56,88580.94,600,600,64163.4,600,600,600,97243.82,600,48636.74,55229.51,600,600,93769.52,600,600,71134.4,600,600,600,600,60887.39,600,600,92372.08,69931.45,600,48887.03,600,600,600,600,56042.89,90707,42636.56,88580.94,600,600,64163.4,600,600,600,97243.82,600,48636.74,55229.51
13_5.808_75.9861,84916.52,177321.2,117639.9,125739.6,200526.8,105460.1,133119.7,144298.6,110490.6,123654.9,98891.35,125672.3,113610.7,102683.9,114154.3,98645.77,95201.6,122854.6,93775.19,105462.6,120019.7,106301.9,113010,85265.61,123722.4,107747.8,124229.6,111599.3,140836.8,118676.7,109218.4,112018.6,90276.66,94540.59,99722.95,84916.52,177321.2,117639.9,125739.6,200526.8,105460.1,133119.7,144298.6,110490.6,123654.9,98891.35,125672.3,113610.7,102683.9,114154.3,98645.77,95201.6,122854.6,93775.19,105462.6,120019.7,106301.9,113010,85265.61,123722.4,107747.8,124229.6,111599.3,140836.8,118676.7,109218.4,112018.6,90276.66,94540.59,99722.95,84916.52,177321.2,117639.9,125739.6,200526.8,105460.1,133119.7,144298.6,110490.6,123654.9,98891.35,125672.3,113610.7,102683.9,114154.3,98645.77,95201.6,122854.6,93775.19,105462.6,120019.7,106301.9,113010,85265.61,123722.4,107747.8,124229.6,111599.3,140836.8,118676.7,109218.4,112018.6,90276.66,94540.59,99722.95
14_6.545_79.0421,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600
