Compound Name, 14 01a, 14 02a, 14 03a, 14 04a, 14 05a, 14 06a, 14 07a, 14 08a, 14 09a, 14 10a, 14 11a, 14 12a, 14 13a, 14 14a, 14 15a, 14 16a, 14 17a, 14 18a, 14 19a, 14 20a, 14 21a, 14 22a, 14 23a, 14 24a, 14 25a, 14 26a, 14 27a, 14 28a, 14 29a, 14 30a, 14 31a, 14 32a, 14 33a, 14 34a, 14 36a, 14 01b, 14 02b, 14 03b, 14 04b, 14 05b, 14 06b, 14 07b, 14 08b, 14 09b, 14 10b, 14 11b, 14 12b, 14 13b, 14 14b, 14 15b, 14 16b, 14 17b, 14 18b, 14 19b, 14 20b, 14 21b, 14 22b, 14 23b, 14 24b, 14 25b, 14 26b, 14 27b, 14 28b, 14 29b, 14 30b, 14 31b, 14 32b, 14 33b, 14 34b, 14 36b, 14 01c, 14 02c, 14 03c, 14 04c, 14 05c, 14 06c, 14 07c, 14 08c, 14 09c, 14 10c, 14 11c, 14 12c, 14 13c, 14 14c, 14 15c, 14 16c, 14 17c, 14 18c, 14 19c, 14 20c, 14 21c, 14 22c, 14 23c, 14 24c, 14 25c, 14 26c, 14 27c, 14 28c, 14 29c, 14 30c, 14 31c, 14 32c, 14 33c, 14 34c, 14 36c
lake,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,36,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,36,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,36
precipitation,21.98,72.85,72.85,111.12,16.85,89.83,41.3,61.1,93.72,19.09,117.81,14.04,14.04,155.54,55.49,96.34,80.7,35.32,5.99,35.52,17.52,17.52,6.68,38.2,35.52,35.52,35.52,35.52,50.47,39.4,22.74,0,8.76,23.85,17.44,21.98,72.85,72.85,111.12,16.85,89.83,41.3,61.1,93.72,19.09,117.81,14.04,14.04,155.54,55.49,96.34,80.7,35.32,5.99,35.52,17.52,17.52,6.68,38.2,35.52,35.52,35.52,35.52,50.47,39.4,22.74,0,8.76,23.85,17.44,21.98,72.85,72.85,111.12,16.85,89.83,41.3,61.1,93.72,19.09,117.81,14.04,14.04,155.54,55.49,96.34,80.7,35.32,5.99,35.52,17.52,17.52,6.68,38.2,35.52,35.52,35.52,35.52,50.47,39.4,22.74,0,8.76,23.85,17.44
pH,8.8,8.6,8.5,8.03,8.9,8.26,8.75,8.48,8.6,8.9,8.25,8.4,8.3,7.69,8.9,8.9,8.3,8.2,8.11,8.3,8.6,8.1,8.4,8.62,8.3,8.3,8.2,8.5,7.8,8.15,8.1,7.64,9,8.3,7.4,8.8,8.6,8.5,8.03,8.9,8.26,8.75,8.48,8.6,8.9,8.25,8.4,8.3,7.69,8.9,8.9,8.3,8.2,8.11,8.3,8.6,8.1,8.4,8.62,8.3,8.3,8.2,8.5,7.8,8.15,8.1,7.64,9,8.3,7.4,8.8,8.6,8.5,8.03,8.9,8.26,8.75,8.48,8.6,8.9,8.25,8.4,8.3,7.69,8.9,8.9,8.3,8.2,8.11,8.3,8.6,8.1,8.4,8.62,8.3,8.3,8.2,8.5,7.8,8.15,8.1,7.64,9,8.3,7.4
DOC,7.456,7.602,7.896,5.747,2.151,3.289,5.022,10.54,12.28,4.245,4.398,7.755,7.837,5.259,4.511,10.72,9.226,5.597,6.267,34.45,8.03,9.24,9.958,7.272,6.068,6.119,6.267,6.832,4.764,3.667,4.797,8.623,11.055,7.656,9.291,7.456,7.602,7.896,5.747,2.151,3.289,5.022,10.54,12.28,4.245,4.398,7.755,7.837,5.259,4.511,10.72,9.226,5.597,6.267,34.45,8.03,9.24,9.958,7.272,6.068,6.119,6.267,6.832,4.764,3.667,4.797,8.623,11.055,7.656,9.291,7.456,7.602,7.896,5.747,2.151,3.289,5.022,10.54,12.28,4.245,4.398,7.755,7.837,5.259,4.511,10.72,9.226,5.597,6.267,34.45,8.03,9.24,9.958,7.272,6.068,6.119,6.267,6.832,4.764,3.667,4.797,8.623,11.055,7.656,9.291
TKP,1.117,1.115,1.027,1.064,1.064,1.076,1.048,1.073,1.1,1.068,1.139,1.166,1.022,1.16,1.109,0.973,1.118,1.049,1.201,1.091,1.036,1.112,0.985,1.005,1.062,1.13,1.091,1.045,1.224,1.0365,1.094,1.186,1.031,1.015,1.0865,1.117,1.115,1.027,1.064,1.064,1.076,1.048,1.073,1.1,1.068,1.139,1.166,1.022,1.16,1.109,0.973,1.118,1.049,1.201,1.091,1.036,1.112,0.985,1.005,1.062,1.13,1.091,1.045,1.224,1.0365,1.094,1.186,1.031,1.015,1.0865,1.117,1.115,1.027,1.064,1.064,1.076,1.048,1.073,1.1,1.068,1.139,1.166,1.022,1.16,1.109,0.973,1.118,1.049,1.201,1.091,1.036,1.112,0.985,1.005,1.062,1.13,1.091,1.045,1.224,1.0365,1.094,1.186,1.031,1.015,1.0865
TKN,0.162,0.166,0.179,0.16,0.169,0.196,0.157,0,0.183,0.187,0.131,0.171,0.193,0.237,0.172,0.145,0.139,0.172,0.118,0.154,0.166,0.155,0.164,0.165,0.147,0.193,0.151,0.164,0.197,0.249,0.249,0.08,0.1445,0.156,0,0.162,0.166,0.179,0.16,0.169,0.196,0.157,0,0.183,0.187,0.131,0.171,0.193,0.237,0.172,0.145,0.139,0.172,0.118,0.154,0.166,0.155,0.164,0.165,0.147,0.193,0.151,0.164,0.197,0.249,0.249,0.08,0.1445,0.156,0,0.162,0.166,0.179,0.16,0.169,0.196,0.157,0,0.183,0.187,0.131,0.171,0.193,0.237,0.172,0.145,0.139,0.172,0.118,0.154,0.166,0.155,0.164,0.165,0.147,0.193,0.151,0.164,0.197,0.249,0.249,0.08,0.1445,0.156,0
NH3,0.0427,0.0643,0.0325,0.0349,0.4391,0.4622,0.5096,0.533,0.0193,0.0357,0.4183,0.0137,0.049,0.6144,0.60975,0.0569,0.0413,0.0934,0.0304,0,0.0139,0.0227,0.0477,0.0084,0.2005,0.011,0.0466,0.1114,0.5078,0.60695,0.2267,0.501,0.3792,0.2498,0.7446,0.0427,0.0643,0.0325,0.0349,0.4391,0.4622,0.5096,0.533,0.0193,0.0357,0.4183,0.0137,0.049,0.6144,0.60975,0.0569,0.0413,0.0934,0.0304,0,0.0139,0.0227,0.0477,0.0084,0.2005,0.011,0.0466,0.1114,0.5078,0.60695,0.2267,0.501,0.3792,0.2498,0.7446,0.0427,0.0643,0.0325,0.0349,0.4391,0.4622,0.5096,0.533,0.0193,0.0357,0.4183,0.0137,0.049,0.6144,0.60975,0.0569,0.0413,0.0934,0.0304,0,0.0139,0.0227,0.0477,0.0084,0.2005,0.011,0.0466,0.1114,0.5078,0.60695,0.2267,0.501,0.3792,0.2498,0.7446
Org N,0.1193,0.1017,0.1465,0.1251,0,0,0,0,0.1637,0.1513,0,0.1573,0.144,0,0,0.0881,0.0977,0.0786,0.0876,0.1632,0.1521,0.1323,0.1163,0.1566,0,0.182,0.1044,0.0526,0,0,0.0223,0,0,0,0,0.1193,0.1017,0.1465,0.1251,0,0,0,0,0.1637,0.1513,0,0.1573,0.144,0,0,0.0881,0.0977,0.0786,0.0876,0.1632,0.1521,0.1323,0.1163,0.1566,0,0.182,0.1044,0.0526,0,0,0.0223,0,0,0,0,0.1193,0.1017,0.1465,0.1251,0,0,0,0,0.1637,0.1513,0,0.1573,0.144,0,0,0.0881,0.0977,0.0786,0.0876,0.1632,0.1521,0.1323,0.1163,0.1566,0,0.182,0.1044,0.0526,0,0,0.0223,0,0,0,0
NO2,0.0057,0.023,0.0202,0.0072,0.0364,0.0911,0.0034,0.0139,0.0127,0.0636,0.0162,0.0122,0.0169,0.0132,0.01045,0.0119,0.0116,0.176,0.0051,0.0069,0.009,0.0032,0.009,0,0.0048,0.0035,0.0044,0.0055,0.0445,0.06725,0.0926,0.0027,0.0175,0.0097,0.01455,0.0057,0.023,0.0202,0.0072,0.0364,0.0911,0.0034,0.0139,0.0127,0.0636,0.0162,0.0122,0.0169,0.0132,0.01045,0.0119,0.0116,0.176,0.0051,0.0069,0.009,0.0032,0.009,0,0.0048,0.0035,0.0044,0.0055,0.0445,0.06725,0.0926,0.0027,0.0175,0.0097,0.01455,0.0057,0.023,0.0202,0.0072,0.0364,0.0911,0.0034,0.0139,0.0127,0.0636,0.0162,0.0122,0.0169,0.0132,0.01045,0.0119,0.0116,0.176,0.0051,0.0069,0.009,0.0032,0.009,0,0.0048,0.0035,0.0044,0.0055,0.0445,0.06725,0.0926,0.0027,0.0175,0.0097,0.01455
NO3,0.0193,0.196,0,0.0238,7.4596,0.7079,0.0236,0,0,1.8734,0.0878,0.0128,0,0,0.03555,0,0,4.678,0.1999,0,0.096,0.0708,0,0,0,0,0,0,8.2825,0.58225,0.3504,0.0363,0,0.0053,0,0.0193,0.196,0,0.0238,7.4596,0.7079,0.0236,0,0,1.8734,0.0878,0.0128,0,0,0.03555,0,0,4.678,0.1999,0,0.096,0.0708,0,0,0,0,0,0,8.2825,0.58225,0.3504,0.0363,0,0.0053,0,0.0193,0.196,0,0.0238,7.4596,0.7079,0.0236,0,0,1.8734,0.0878,0.0128,0,0,0.03555,0,0,4.678,0.1999,0,0.096,0.0708,0,0,0,0,0,0,8.2825,0.58225,0.3504,0.0363,0,0.0053,0
