, 15-01a, 15-02a, 15-03a, 15-04a, 15-05a, 15-06a, 15-07a, 15-08a, 15-09a, 15-10a, 15-11a, 15-12a, 15-13a, 15-14a, 15-15a, 15-16a, 15-17a, 15-18a, 15-19a, 15-20a, 15-21a, 15-22a, 15-23a, 15-24a, 15-25a, 15-26a, 15-27a, 15-28a, 15-29a, 15-30a, 15-31a, 15-32a, 15-33a, 15-34a, 15-36a, 15-01b, 15-02b, 15-03b, 15-04b, 15-05b, 15-06b, 15-07b, 15-08b, 15-09b, 15-10b, 15-11b, 15-12b, 15-13b, 15-14b, 15-15b, 15-16b, 15-17b, 15-18b, 15-19b, 15-20b, 15-21b, 15-22b, 15-23b, 15-24b, 15-25b, 15-26b, 15-27b, 15-28b, 15-29b, 15-30b, 15-31b, 15-32b, 15-33b, 15-34b, 15-36b, 15-01c, 15-02c, 15-03c, 15-04c, 15-05c, 15-06c, 15-07c, 15-08c, 15-09c, 15-10c, 15-11c, 15-12c, 15-13c, 15-14c, 15-15c, 15-16c, 15-17c, 15-18c, 15-19c, 15-20c, 15-21c, 15-22c, 15-23c, 15-24c, 15-25c, 15-26c, 15-27c, 15-28c, 15-29c, 15-30c, 15-31c, 15-32c, 15-33c, 15-34c, 15-36c
1802_6.572_1354.6058,60374.07,37425.55,40725.13,21985.93,16843.59,600,600,36606.48,600,600,600,600,75091.05,64874.41,12226.25,66379.38,600,600,73776.55,72036.49,14863.88,29141.33,18775.8,62431.5,62890.72,600,600,17203.83,600,600,600,600,600,600,600,60374.07,37425.55,40725.13,21985.93,16843.59,600,600,36606.48,600,600,600,600,75091.05,64874.41,12226.25,66379.38,600,600,73776.55,72036.49,14863.88,29141.33,18775.8,62431.5,62890.72,600,600,17203.83,600,600,600,600,600,600,600,60374.07,37425.55,40725.13,21985.93,16843.59,600,600,36606.48,600,600,600,600,75091.05,64874.41,12226.25,66379.38,600,600,73776.55,72036.49,14863.88,29141.33,18775.8,62431.5,62890.72,600,600,17203.83,600,600,600,600,600,600,600
1803_7.264_1355.6301,19030.75,600,600,34619.46,38513.8,600,600,600,105775.5,600,600,30529.72,13670.5,36809.73,19825.1,146385,41065.67,600,133684.7,47015.6,23869.6,63306.41,14770.6,162012.1,600,90554.81,600,80965.58,80672.5,600,600,600,13765.47,600,55327.3,19030.75,600,600,34619.46,38513.8,600,600,600,105775.5,600,600,30529.72,13670.5,36809.73,19825.1,146385,41065.67,600,133684.7,47015.6,23869.6,63306.41,14770.6,162012.1,600,90554.81,600,80965.58,80672.5,600,600,600,13765.47,600,55327.3,19030.75,600,600,34619.46,38513.8,600,600,600,105775.5,600,600,30529.72,13670.5,36809.73,19825.1,146385,41065.67,600,133684.7,47015.6,23869.6,63306.41,14770.6,162012.1,600,90554.81,600,80965.58,80672.5,600,600,600,13765.47,600,55327.3
1804_6.937_1356.595,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600
1805_6.942_1356.6266,600,600,600,600,14494.41,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,11524.11,600,16956.08,600,600,600,600,600,600,600,600,600,600,600,600,14494.41,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,11524.11,600,16956.08,600,600,600,600,600,600,600,600,600,600,600,600,14494.41,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,11524.11,600,16956.08,600,600,600,600,600,600,600,600
1806_6.908_1356.6538,798352.9,906378.6,1024374,1150924,1108814,1162235,11447.19,1035592,817806.4,935908.7,1054010,931473.4,994386.1,957661.7,600,600,600,600,965470.1,991404,987479.1,990629.5,600,984610.8,1005243,903848.9,950601.8,973279.6,1001263,951984.1,1083001,600,410794,600,544594.4,798352.9,906378.6,1024374,1150924,1108814,1162235,11447.19,1035592,817806.4,935908.7,1054010,931473.4,994386.1,957661.7,600,600,600,600,965470.1,991404,987479.1,990629.5,600,984610.8,1005243,903848.9,950601.8,973279.6,1001263,951984.1,1083001,600,410794,600,544594.4,798352.9,906378.6,1024374,1150924,1108814,1162235,11447.19,1035592,817806.4,935908.7,1054010,931473.4,994386.1,957661.7,600,600,600,600,965470.1,991404,987479.1,990629.5,600,984610.8,1005243,903848.9,950601.8,973279.6,1001263,951984.1,1083001,600,410794,600,544594.4
1807_7.442_1360.6342,600,600,600,600,600,600,600,600,600,600,75909.74,87591.49,600,600,600,98010.74,600,600,137138,600,600,600,600,600,313355.9,600,600,156478.5,9166.03,600,600,251077.2,346133.2,600,600,600,600,600,600,600,600,600,600,600,600,75909.74,87591.49,600,600,600,98010.74,600,600,137138,600,600,600,600,600,313355.9,600,600,156478.5,9166.03,600,600,251077.2,346133.2,600,600,600,600,600,600,600,600,600,600,600,600,75909.74,87591.49,600,600,600,98010.74,600,600,137138,600,600,600,600,600,313355.9,600,600,156478.5,9166.03,600,600,251077.2,346133.2,600,600
1808_7.593_1364.6442,119321.9,320852.8,321803.1,208525.9,600,314293.1,600,600,600,600,600,14004.11,600,600,600,600,600,153011.6,600,22525.48,600,55575.49,600,600,600,260707.5,600,600,150127.1,600,600,600,600,600,50648.18,119321.9,320852.8,321803.1,208525.9,600,314293.1,600,600,600,600,600,14004.11,600,600,600,600,600,153011.6,600,22525.48,600,55575.49,600,600,600,260707.5,600,600,150127.1,600,600,600,600,600,50648.18,119321.9,320852.8,321803.1,208525.9,600,314293.1,600,600,600,600,600,14004.11,600,600,600,600,600,153011.6,600,22525.48,600,55575.49,600,600,600,260707.5,600,600,150127.1,600,600,600,600,600,50648.18
1809_7.457_1365.1501,600,111391,100331.9,600,78889.21,600,600,88905.48,70990.31,120254.6,600,100826.2,117191.1,115299.9,67688.11,107833.3,47633.27,78655.74,600,29043.58,39487,47940.27,600,16854.63,48768.3,600,36690.48,61465.05,51559.87,59689.34,600,27310.38,600,75828.14,600,600,111391,100331.9,600,78889.21,600,600,88905.48,70990.31,120254.6,600,100826.2,117191.1,115299.9,67688.11,107833.3,47633.27,78655.74,600,29043.58,39487,47940.27,600,16854.63,48768.3,600,36690.48,61465.05,51559.87,59689.34,600,27310.38,600,75828.14,600,600,111391,100331.9,600,78889.21,600,600,88905.48,70990.31,120254.6,600,100826.2,117191.1,115299.9,67688.11,107833.3,47633.27,78655.74,600,29043.58,39487,47940.27,600,16854.63,48768.3,600,36690.48,61465.05,51559.87,59689.34,600,27310.38,600,75828.14,600
1810_6.903_1365.6281,50525.17,33972.67,600,600,75851,600,600,41416.14,600,600,600,74096.46,59685.31,600,600,600,35811.73,600,600,36059.98,600,59799.55,600,53304.33,57741.68,600,80172.31,64543.93,56695.38,600,600,600,600,600,34117.12,50525.17,33972.67,600,600,75851,600,600,41416.14,600,600,600,74096.46,59685.31,600,600,600,35811.73,600,600,36059.98,600,59799.55,600,53304.33,57741.68,600,80172.31,64543.93,56695.38,600,600,600,600,600,34117.12,50525.17,33972.67,600,600,75851,600,600,41416.14,600,600,600,74096.46,59685.31,600,600,600,35811.73,600,600,36059.98,600,59799.55,600,53304.33,57741.68,600,80172.31,64543.93,56695.38,600,600,600,600,600,34117.12
1811_6.673_1366.6062,600,600,96020.32,67199.73,600,37844.41,600,600,600,600,600,258791.7,600,600,600,600,600,600,600,248974,600,600,600,244955.7,58799.68,600,600,600,600,600,600,600,600,600,600,600,600,96020.32,67199.73,600,37844.41,600,600,600,600,600,258791.7,600,600,600,600,600,600,600,248974,600,600,600,244955.7,58799.68,600,600,600,600,600,600,600,600,600,600,600,600,96020.32,67199.73,600,37844.41,600,600,600,600,600,258791.7,600,600,600,600,600,600,600,248974,600,600,600,244955.7,58799.68,600,600,600,600,600,600,600,600,600,600
1812_7.243_1366.6338,80540.23,77267.73,123083.2,600,110190.9,600,600,121596.9,600,600,600,76446.54,68918.74,600,82021.62,34093.93,600,600,53348.72,600,132957,51881.1,600,600,87922.27,46413.83,600,600,87484.12,101734.1,63199.88,600,39219.52,49129.69,600,80540.23,77267.73,123083.2,600,110190.9,600,600,121596.9,600,600,600,76446.54,68918.74,600,82021.62,34093.93,600,600,53348.72,600,132957,51881.1,600,600,87922.27,46413.83,600,600,87484.12,101734.1,63199.88,600,39219.52,49129.69,600,80540.23,77267.73,123083.2,600,110190.9,600,600,121596.9,600,600,600,76446.54,68918.74,600,82021.62,34093.93,600,600,53348.72,600,132957,51881.1,600,600,87922.27,46413.83,600,600,87484.12,101734.1,63199.88,600,39219.52,49129.69,600
1813_6.899_1367.6331,76514.42,89518.51,600,600,600,600,107482.4,164896.3,72522.83,89203.13,600,600,54886.91,49731.94,600,600,55526.93,41762.13,600,90267.91,600,40868.9,17676.24,80232.23,114597.2,32388.58,600,116905.2,50594.44,92139.55,600,28393.73,600,28964.22,25470.6,76514.42,89518.51,600,600,600,600,107482.4,164896.3,72522.83,89203.13,600,600,54886.91,49731.94,600,600,55526.93,41762.13,600,90267.91,600,40868.9,17676.24,80232.23,114597.2,32388.58,600,116905.2,50594.44,92139.55,600,28393.73,600,28964.22,25470.6,76514.42,89518.51,600,600,600,600,107482.4,164896.3,72522.83,89203.13,600,600,54886.91,49731.94,600,600,55526.93,41762.13,600,90267.91,600,40868.9,17676.24,80232.23,114597.2,32388.58,600,116905.2,50594.44,92139.55,600,28393.73,600,28964.22,25470.6
1814_7.551_1367.6428,600,600,600,394135.5,600,600,182678.1,600,600,79559.51,58578.95,600,600,125998.5,600,600,600,75199.41,600,600,170777.7,600,600,600,600,600,170835.6,600,600,600,151557.4,137460,600,600,600,600,600,600,394135.5,600,600,182678.1,600,600,79559.51,58578.95,600,600,125998.5,600,600,600,75199.41,600,600,170777.7,600,600,600,600,600,170835.6,600,600,600,151557.4,137460,600,600,600,600,600,600,394135.5,600,600,182678.1,600,600,79559.51,58578.95,600,600,125998.5,600,600,600,75199.41,600,600,170777.7,600,600,600,600,600,170835.6,600,600,600,151557.4,137460,600,600,600
1815_7.546_1369.6517,108932.5,4827.919,600,600,600,11176.81,600,6583.945,600,600,600,600,600,600,600,600,26074.38,600,5432.495,600,178120,600,141800,172365.2,315051.5,600,600,600,600,600,600,600,84749.28,3280.856,600,108932.5,4827.919,600,600,600,11176.81,600,6583.945,600,600,600,600,600,600,600,600,26074.38,600,5432.495,600,178120,600,141800,172365.2,315051.5,600,600,600,600,600,600,600,84749.28,3280.856,600,108932.5,4827.919,600,600,600,11176.81,600,6583.945,600,600,600,600,600,600,600,600,26074.38,600,5432.495,600,178120,600,141800,172365.2,315051.5,600,600,600,600,600,600,600,84749.28,3280.856,600
