Compound Nme, 13 01, 13 02, 13 03, 13 04, 13 05, 13 06, 13 07, 13 08, 13 09, 13 10, 13 11, 13 12, 13 13, 13 14, 13 15, 13 16, 13 17, 13 18, 13 19, 13 20, 13 21, 13 22, 13 23, 13 24, 13 25, 13 26, 13 27, 13 28, 13 29, 13 30, 13 31, 13 32, 13 33, 13 34, 13 36, 14 01, 14 02, 14 03, 14 04, 14 05, 14 06, 14 07, 14 08, 14 09, 14 10, 14 11, 14 12, 14 13, 14 14, 14 15, 14 16, 14 17, 14 18, 14 19, 14 20, 14 21, 14 22, 14 23, 14 24, 14 25, 14 26, 14 27, 14 28, 14 29, 14 30, 14 31, 14 32, 14 33, 14 34, 14 36, 15-01, 15-02, 15-03, 15-04, 15-05, 15-06, 15-07, 15-08, 15-09, 15-10, 15-11, 15-12, 15-13, 15-14, 15-15, 15-16, 15-17, 15-18, 15-19, 15-20, 15-21, 15-22, 15-23, 15-24, 15-25, 15-26, 15-27, 15-28, 15-29, 15-30, 15-31, 15-32, 15-33, 15-34, 15-36
235_0.534_94.9663,79112.94,39042.93,18080.16,129720.9,63248.39,39085.07,76568.59,600,87114.08,42943.98,87544.36,82717.19,600,105629.9,600,59977.46,93369.88,600,60596.99,158872.7,76341.77,600,40051.74,40710.56,103306.2,600,61566.42,42494.61,30951.93,600,600,60940.36,113447.4,28209.13,56127.64,600,173166.6,600,26534.86,11456.81,24356.12,18339.43,600,46946.98,17166.46,600,40118.72,72388.68,600,41129.6,46549.07,600,42454.77,600,600,76471.25,600,12822.96,600,71527.91,13135.4,600,600,600,600,39681.59,600,51401.68,600,600,600,600,600,600,600,600,13770.21,13947.08,48151.89,600,600,600,600,600,14643.38,600,600,45101.43,600,600,11555.79,600,22021.73,48317.09,50485.64,600,600,600,600,600,600,80397.49,600,600,600
236_0.547_95.0704,256535.2,600,600,43501.55,600,12648.28,53368.2,93371.36,600,600,600,124755.1,600,226391.6,122399.3,600,600,179769.4,123705.2,600,600,600,600,600,131000.6,600,223291.1,600,34669.25,600,600,373270.5,600,215920.7,204468.7,25431.96,600,600,105233.5,600,600,208368.2,600,208696.2,370516,186393.5,108565.2,600,600,600,600,600,600,25574.24,367202.9,97217.96,600,838.6336,600,600,600,191520.2,600,90243.43,308332,600,125459.4,179133.4,197833.4,363611,102119.3,35339.07,51693.11,600,58928.15,91492.73,138448,77712.31,70158.16,600,51565.8,600,73590.73,600,600,60728.89,46528.16,600,600,600,91961.95,600,110695.9,600,600,600,62183.58,104198.8,13350.19,600,78608.34,600,600,89245.45,39454.45
237_0.326_95.9587,600,600,600,600,5485.311,19220.99,600,600,600,600,600,20672.23,600,600,600,628776.3,600,627665.3,600,600,600,294986.2,600,116411.8,600,600,600,103833.8,146054.4,600,600,600,600,600,600,169592.8,600,600,30604.16,327838.2,600,600,600,600,2955.882,600,600,600,600,600,600,150253.6,3783.714,120523.3,600,600,600,436030.2,600,123659.2,600,600,600,600,147188.3,600,600,600,600,600,600,317296.1,134841.9,80650.84,360880.8,600,138284.8,600,600,323126.4,34522.56,600,506604.2,600,600,182685.6,600,431217.9,290499.4,600,600,600,600,90158.8,367040.7,600,600,600,75374.88,600,14525.32,600,600,600,600
238_0.323_95.9609,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,133089,600,600,600,600,600,600,164311.8,353233.9,600,217531.5,600,600,600,227313.3,600,600,104404.8,600,72205.78,49317.14,942506.6,1124255,600,600,361711.6,600,600,600,600,600,600,113179,326958.8,600,600,600,600,600,600,977119.1,1123183,600,600,1076743,600,600,600,600,979333.3,1055.992,600,600,600,600,600,600,600,600,600,600,600,600,8049.972,600,600,441408.9,600,600,600,600,600,600,600,2366.64,600,3172.159,600,600,600,600,600,600,35106.52,600
239_0.578_95.9632,600,77097.98,600,600,600,71566,600,600,600,66371.18,600,2357.348,109401.1,43531.05,600,600,600,600,33976.5,600,600,600,32940.06,145486,198821,600,600,600,600,140168.8,600,600,600,111647.2,600,600,600,116302.3,600,600,110433.3,600,134541.5,145850.5,600,600,600,190062.5,600,600,172910.8,600,600,180921.6,600,600,600,600,33879.66,206310.8,600,600,600,600,600,47160.73,215407.3,600,600,600,600,600,600,51102.73,600,49808.63,600,600,40478.54,600,600,600,600,85340.09,600,49825.89,39604.09,600,600,39240.8,54215.73,600,600,600,600,40660.14,600,600,600,36984.19,26854.76,50585.78,600,600,600
240_0.352_95.9638,667059.5,600,943237.3,600,600,600,600,600,561393.6,162625.8,560481.6,551028.2,865282.3,106396.1,708228.6,600,600,600,600,119524.7,600,693794.8,600,205591.2,600,600,559331.1,600,11288.61,600,600,444798.2,786961.7,722547.6,103730,600,646963.1,600,794860.4,600,600,600,600,267220.9,515189.3,369203,676613.7,600,421550.5,548206.6,600,600,661761.9,600,600,659020.9,755659.3,569135.6,253218.1,600,600,600,719753.3,688695.9,600,568888.4,600,741892.3,816654.3,600,600,600,53463.93,600,600,51443.62,54122.72,600,16659.44,30136.63,600,25601.46,600,14879.75,600,28018.99,600,600,21344.86,29139.98,600,600,600,21357.72,600,56223.04,600,50325.55,600,600,600,600,14535.43,33317.92,600
241_1.669_96.0566,600,600,122153.2,135764.4,600,600,600,600,140646.7,600,600,600,600,600,16602.09,145843.9,160664.1,600,600,82639.8,600,221550.2,600,600,600,131719.1,600,600,600,600,18409.58,600,600,600,600,600,600,600,4898.533,600,600,600,600,172762.2,31407,600,600,160660,600,600,600,600,600,600,600,155242.4,600,16714.73,600,600,180367.4,600,600,600,600,600,600,600,157722.8,600,600,600,18731.64,600,600,100817.3,7985.743,124118.1,600,48681.57,600,78841.04,82016.95,55160.51,600,18723.77,39675.34,600,84526.78,22552.65,73957.84,98542.65,600,45081.57,600,105067,600,90687.16,600,8316.336,18582.48,27022.9,600,21572.61,600
242_0.588_96.0792,600,600,600,600,600,20304.78,68489.52,160564.3,22514.1,48896.96,229127.3,600,600,600,600,600,136461.4,600,600,113089.1,21118.76,111491.7,600,18389.08,600,600,600,600,25059.06,600,35846.11,5208.808,157576.1,600,109123.5,600,2078.133,600,600,600,600,600,96149.48,600,600,600,600,91492.8,600,600,118405,600,117270.6,600,600,600,104528.4,234230,600,23980.99,196484.9,600,600,600,83788.1,600,600,113031.9,600,600,600,600,600,600,600,44752.44,600,600,600,600,600,62183.38,600,600,84717.3,600,49983.23,38736.1,600,92489.37,600,19638.69,600,49368.48,79398.57,600,600,600,600,600,600,600,600,600,600
243_3.503_96.9613,600,38768.79,59484.11,600,600,600,65234.27,86972.72,134802.5,600,85895.32,600,119029.6,90833.57,78675.04,600,104599.3,600,379405.9,77382.83,600,600,600,39234.95,91996.1,95177.96,140720.3,600,58720.89,600,111765.5,95642.87,600,600,600,600,150159.4,600,600,600,600,600,58547.4,600,600,600,600,600,600,600,600,46122.47,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,16313.87,600,6690.375,600,600,600,600,600,18798.46,88863.65,600,161957.6,600,600,600,600,600,600,86969.98,600,600,600,600,600,600,600,600,600,600,600,600,600,600,43685.59,600
244_2.714_96.9615,517861.3,600,232096.1,327108.6,83952.99,74161.53,415337.8,232725.6,366177.7,600,255941.1,265391.4,216791.8,389908.2,600,150374.3,212694.8,196343,429201.3,276094.2,600,353904.8,600,600,292084.9,406951.3,525988.1,600,600,600,309261.4,191838.9,385315.5,257515.5,600,600,188926,600,381729.3,600,600,359483.7,600,600,600,274750.5,218625.4,705260.4,600,600,600,600,272440.7,600,600,193066.6,600,600,600,600,600,267277.9,213125.4,170364.2,98080.48,600,600,600,600,600,600,600,600,101846.2,11832.34,65204.57,115771.9,600,600,94212.52,78361.77,233808.3,600,72034.78,98046.31,600,600,600,600,91659.86,600,77186.24,600,600,600,88816.94,87755.34,74049.36,600,600,66613.58,93394.29,90196.58,600,600
245_0.42_96.9615,600,600,264085.6,255653.2,145056.4,137388.7,134051.8,157466,600,600,600,230022,600,196222.3,158518.8,600,212470.9,214476.7,213925.8,600,192710.4,173120.9,600,242310.6,129121,217900.5,152064.2,179015.8,157317.8,600,600,600,125291,144526.5,600,176352.8,198810.9,600,192563,600,600,600,600,245358,600,142743.2,147804.7,115153.2,600,600,600,124412.6,600,125180,147534.5,128620.9,600,600,103098.5,600,600,600,600,600,600,127928,600,600,600,600,600,600,600,600,600,600,249080.6,600,600,600,600,600,600,600,600,177196.6,600,118399.4,156786.7,600,600,600,600,600,600,600,600,600,600,600,600,218472.4,600,600,600
246_2.121_96.9615,109373.5,600,600,600,85089.38,63356.63,600,600,188960.7,600,600,173414.5,110408,600,600,84482.98,600,600,84750.02,600,600,124339.2,600,600,600,600,96223.27,600,600,600,129798.1,85438.81,600,600,600,600,600,600,600,600,600,99779.68,600,600,168475,600,124915.6,600,600,139623.5,123905.5,600,600,600,600,600,151627.7,131425.2,600,600,600,94428.17,600,600,83654.32,600,600,600,600,600,600,600,600,600,600,600,600,138325.2,102664.4,600,600,127482.8,124000.1,600,600,53844.52,77956.71,600,600,59995.02,600,600,600,600,600,600,100171.8,600,600,600,600,600,600,600,600
247_0.224_96.9615,600,89560.91,600,600,124818.9,600,91015.45,86082.48,86076.7,111849.2,600,147688.3,600,600,600,600,143012.2,600,600,600,600,600,600,600,600,600,600,600,83711.86,600,600,600,600,73562.34,92581.02,143510.9,100411.4,107067.9,600,77176.52,78799.82,600,600,600,600,112205.3,600,106802.7,89943.21,600,600,95830.2,600,600,141453.4,129743.3,115604.9,600,146480.8,68479.74,600,600,114383.8,600,600,600,600,600,600,600,600,600,120118.6,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,12426,600,600,600,600,600,600,600,600,6598.983,600,600,600
248_5.893_96.9615,70847.73,600,105716.1,26737.36,600,600,63224.25,600,73700.77,600,61574.02,102103.1,36484.57,600,88633.77,600,65779.55,91655.38,250875.3,78803.56,600,15661.86,600,600,600,48513.07,63737.78,600,600,600,43040.38,600,64111.77,24619.86,48114.41,600,52990.5,600,19854.42,600,600,41263.79,65361.13,31038.01,600,55364.91,60082.56,600,600,600,47328.07,600,600,600,600,62189.05,62255.51,600,600,600,74791.78,600,600,600,76060.77,600,62885.75,600,68708.16,18151.76,33502.06,600,23998.8,600,600,16735.2,600,28824.09,24447.73,23034.41,21941.27,87721.14,20732.32,26958.57,600,600,21370.11,600,600,600,25945.43,28629.12,29415.42,600,21405.74,600,600,600,28005.52,600,23946.65,600,30420.59,14526.21,600
