Compound Name, 13 01a, 13 02a, 13 03a, 13 04a, 13 05a, 13 06a, 13 07a, 13 08a, 13 09a, 13 10a, 13 11a, 13 12a, 13 13a, 13 14a, 13 15a, 13 16a, 13 17a, 13 18a, 13 19a, 13 20a, 13 21a, 13 22a, 13 23a, 13 24a, 13 25a, 13 26a, 13 27a, 13 28a, 13 29a, 13 30a, 13 31a, 13 32a, 13 33a, 13 34a, 13 36a, 13 01b, 13 02b, 13 03b, 13 04b, 13 05b, 13 06b, 13 07b, 13 08b, 13 09b, 13 10b, 13 11b, 13 12b, 13 13b, 13 14b, 13 15b, 13 16b, 13 17b, 13 18b, 13 19b, 13 20b, 13 21b, 13 22b, 13 23b, 13 24b, 13 25b, 13 26b, 13 27b, 13 28b, 13 29b, 13 30b, 13 31b, 13 32b, 13 33b, 13 34b, 13 36b, 13 01c, 13 02c, 13 03c, 13 04c, 13 05c, 13 06c, 13 07c, 13 08c, 13 09c, 13 10c, 13 11c, 13 12c, 13 13c, 13 14c, 13 15c, 13 16c, 13 17c, 13 18c, 13 19c, 13 20c, 13 21c, 13 22c, 13 23c, 13 24c, 13 25c, 13 26c, 13 27c, 13 28c, 13 29c, 13 30c, 13 31c, 13 32c, 13 33c, 13 34c, 13 36c
8_3.882_61.974,600,600,600,600,600,600,600,600,600,128200,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,898480.3,600,600,600,600,600,600,600,600,600,600,600,600,128200,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,898480.3,600,600,600,600,600,600,600,600,600,600,600,600,128200,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,898480.3,600,600,600
9_0.574_65.9647,600,600,219702.5,600,600,600,600,600,600,600,600,182658.7,600,600,600,600,237088.7,600,600,600,600,600,600,600,600,159953.8,600,600,46586.27,39845.78,600,600,600,600,600,600,600,219702.5,600,600,600,600,600,600,600,600,182658.7,600,600,600,600,237088.7,600,600,600,600,600,600,600,600,159953.8,600,600,46586.27,39845.78,600,600,600,600,600,600,600,219702.5,600,600,600,600,600,600,600,600,182658.7,600,600,600,600,237088.7,600,600,600,600,600,600,600,600,159953.8,600,600,46586.27,39845.78,600,600,600,600,600
10_6.799_68.064,66061.14,54878.95,64988.3,48296.07,57227.55,64685.52,50074.47,51315.21,42392.27,66879.46,54540.38,53858.29,67271.91,79270.83,82319.21,58635.07,67294.21,69720.61,68809.66,61853.52,60608.58,68059.75,63724.42,76392.39,49654.53,73029.77,74606.3,75361.06,71432.55,58099.2,64608.23,72227.06,55103.49,63543.24,4021.164,66061.14,54878.95,64988.3,48296.07,57227.55,64685.52,50074.47,51315.21,42392.27,66879.46,54540.38,53858.29,67271.91,79270.83,82319.21,58635.07,67294.21,69720.61,68809.66,61853.52,60608.58,68059.75,63724.42,76392.39,49654.53,73029.77,74606.3,75361.06,71432.55,58099.2,64608.23,72227.06,55103.49,63543.24,4021.164,66061.14,54878.95,64988.3,48296.07,57227.55,64685.52,50074.47,51315.21,42392.27,66879.46,54540.38,53858.29,67271.91,79270.83,82319.21,58635.07,67294.21,69720.61,68809.66,61853.52,60608.58,68059.75,63724.42,76392.39,49654.53,73029.77,74606.3,75361.06,71432.55,58099.2,64608.23,72227.06,55103.49,63543.24,4021.164
11_5.42_70.0352,155270.4,600,521892,600,600,196298.2,753447.6,600,214034.8,160958.3,600,205318.1,600,600,600,600,383379.7,600,600,600,157599.2,112446.5,600,600,272793.8,180966.9,600,114906.1,600,600,600,600,600,350693.1,600,155270.4,600,521892,600,600,196298.2,753447.6,600,214034.8,160958.3,600,205318.1,600,600,600,600,383379.7,600,600,600,157599.2,112446.5,600,600,272793.8,180966.9,600,114906.1,600,600,600,600,600,350693.1,600,155270.4,600,521892,600,600,196298.2,753447.6,600,214034.8,160958.3,600,205318.1,600,600,600,600,383379.7,600,600,600,157599.2,112446.5,600,600,272793.8,180966.9,600,114906.1,600,600,600,600,600,350693.1,600
12_5.491_70.0361,600,600,600,68037.38,600,600,600,600,600,600,600,600,80311.69,62332.09,600,110507.6,600,600,80977.25,91781.58,600,600,58188.32,600,600,600,600,600,71506.09,600,74771.19,600,600,600,83807.61,600,600,600,68037.38,600,600,600,600,600,600,600,600,80311.69,62332.09,600,110507.6,600,600,80977.25,91781.58,600,600,58188.32,600,600,600,600,600,71506.09,600,74771.19,600,600,600,83807.61,600,600,600,68037.38,600,600,600,600,600,600,600,600,80311.69,62332.09,600,110507.6,600,600,80977.25,91781.58,600,600,58188.32,600,600,600,600,600,71506.09,600,74771.19,600,600,600,83807.61
13_5.808_75.9861,255576.2,236638.4,217006.1,180886.1,200737.2,103387.2,180816.9,161924,170212.6,118384.3,190279.3,132406.1,152912.7,147894.9,165917.8,83503.94,132234.4,149369.3,152624,174405.8,137011.1,127457.9,142042.5,7903.859,2415.614,129696.5,155659.1,160115.3,200182.8,129574,148806.9,146178.8,115579.1,104802.8,116653.5,255576.2,236638.4,217006.1,180886.1,200737.2,103387.2,180816.9,161924,170212.6,118384.3,190279.3,132406.1,152912.7,147894.9,165917.8,83503.94,132234.4,149369.3,152624,174405.8,137011.1,127457.9,142042.5,7903.859,2415.614,129696.5,155659.1,160115.3,200182.8,129574,148806.9,146178.8,115579.1,104802.8,116653.5,255576.2,236638.4,217006.1,180886.1,200737.2,103387.2,180816.9,161924,170212.6,118384.3,190279.3,132406.1,152912.7,147894.9,165917.8,83503.94,132234.4,149369.3,152624,174405.8,137011.1,127457.9,142042.5,7903.859,2415.614,129696.5,155659.1,160115.3,200182.8,129574,148806.9,146178.8,115579.1,104802.8,116653.5
14_6.545_79.0421,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,246746.8,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,246746.8,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,246746.8,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600
15_0.5_79.0422,1883128,600,3250100,2861611,600,600,600,1586491,1010059,236182.5,600,2080737,957782.9,3088269,701351,3365957,600,1170781,2980936,600,600,600,600,600,3441574,3114888,3289045,600,714005.6,600,600,600,3783293,3933871,1194162,1883128,600,3250100,2861611,600,600,600,1586491,1010059,236182.5,600,2080737,957782.9,3088269,701351,3365957,600,1170781,2980936,600,600,600,600,600,3441574,3114888,3289045,600,714005.6,600,600,600,3783293,3933871,1194162,1883128,600,3250100,2861611,600,600,600,1586491,1010059,236182.5,600,2080737,957782.9,3088269,701351,3365957,600,1170781,2980936,600,600,600,600,600,3441574,3114888,3289045,600,714005.6,600,600,600,3783293,3933871,1194162
16_1.582_79.0422,2062854,600,1170430,1635218,600,600,1218249,1488958,600,600,886283.9,1649227,957076.9,1434351,2067788,600,1048275,593589.6,2024138,1116117,600,2177359,134814,600,1645042,1698486,1564134,600,600,600,3370999,1911738,2760987,1963533,1592228,2062854,600,1170430,1635218,600,600,1218249,1488958,600,600,886283.9,1649227,957076.9,1434351,2067788,600,1048275,593589.6,2024138,1116117,600,2177359,134814,600,1645042,1698486,1564134,600,600,600,3370999,1911738,2760987,1963533,1592228,2062854,600,1170430,1635218,600,600,1218249,1488958,600,600,886283.9,1649227,957076.9,1434351,2067788,600,1048275,593589.6,2024138,1116117,600,2177359,134814,600,1645042,1698486,1564134,600,600,600,3370999,1911738,2760987,1963533,1592228
17_9.062_79.0422,600,600,1443860,600,600,600,1321890,600,600,600,600,983468.5,600,600,1079769,2057633,2636423,1445062,2368663,600,600,2701040,600,600,2402850,1667146,783617.8,600,600,600,600,1829497,1904682,1302754,1554737,600,600,1443860,600,600,600,1321890,600,600,600,600,983468.5,600,600,1079769,2057633,2636423,1445062,2368663,600,600,2701040,600,600,2402850,1667146,783617.8,600,600,600,600,1829497,1904682,1302754,1554737,600,600,1443860,600,600,600,1321890,600,600,600,600,983468.5,600,600,1079769,2057633,2636423,1445062,2368663,600,600,2701040,600,600,2402850,1667146,783617.8,600,600,600,600,1829497,1904682,1302754,1554737
