Compound Name, 13 01a, 13 02a, 13 03a, 13 04a, 13 05a, 13 06a, 13 07a, 13 08a, 13 09a, 13 10a, 13 11a, 13 12a, 13 13a, 13 14a, 13 15a, 13 16a, 13 17a, 13 18a, 13 19a, 13 20a, 13 21a, 13 22a, 13 23a, 13 24a, 13 25a, 13 26a, 13 27a, 13 28a, 13 29a, 13 30a, 13 31a, 13 32a, 13 33a, 13 34a, 13 36a, 13 01b, 13 02b, 13 03b, 13 04b, 13 05b, 13 06b, 13 07b, 13 08b, 13 09b, 13 10b, 13 11b, 13 12b, 13 13b, 13 14b, 13 15b, 13 16b, 13 17b, 13 18b, 13 19b, 13 20b, 13 21b, 13 22b, 13 23b, 13 24b, 13 25b, 13 26b, 13 27b, 13 28b, 13 29b, 13 30b, 13 31b, 13 32b, 13 33b, 13 34b, 13 36b, 13 01c, 13 02c, 13 03c, 13 04c, 13 05c, 13 06c, 13 07c, 13 08c, 13 09c, 13 10c, 13 11c, 13 12c, 13 13c, 13 14c, 13 15c, 13 16c, 13 17c, 13 18c, 13 19c, 13 20c, 13 21c, 13 22c, 13 23c, 13 24c, 13 25c, 13 26c, 13 27c, 13 28c, 13 29c, 13 30c, 13 31c, 13 32c, 13 33c, 13 34c, 13 36c
663_2.81_176.941,90231.42,600,164013.8,56971.02,600,600,74078.67,119724,600,600,600,600,136682.5,600,107746.8,600,174662.5,600,173574.7,600,47282.13,600,600,52515.2,600,119886.8,600,600,600,600,119803.3,600,133025,600,129108.5,90231.42,600,164013.8,56971.02,600,600,74078.67,119724,600,600,600,600,136682.5,600,107746.8,600,174662.5,600,173574.7,600,47282.13,600,600,52515.2,600,119886.8,600,600,600,600,119803.3,600,133025,600,129108.5,90231.42,600,164013.8,56971.02,600,600,74078.67,119724,600,600,600,600,136682.5,600,107746.8,600,174662.5,600,173574.7,600,47282.13,600,600,52515.2,600,119886.8,600,600,600,600,119803.3,600,133025,600,129108.5
664_1.268_176.941,111533.8,157848.5,182278.2,156362.4,205145.9,95127.63,600,84455.49,600,600,600,17349.89,94356.23,91483.67,600,600,600,600,121990.4,600,180973.3,131056.5,91717.12,600,600,600,600,600,169017.1,600,600,600,600,166815.5,100300.1,111533.8,157848.5,182278.2,156362.4,205145.9,95127.63,600,84455.49,600,600,600,17349.89,94356.23,91483.67,600,600,600,600,121990.4,600,180973.3,131056.5,91717.12,600,600,600,600,600,169017.1,600,600,600,600,166815.5,100300.1,111533.8,157848.5,182278.2,156362.4,205145.9,95127.63,600,84455.49,600,600,600,17349.89,94356.23,91483.67,600,600,600,600,121990.4,600,180973.3,131056.5,91717.12,600,600,600,600,600,169017.1,600,600,600,600,166815.5,100300.1
665_0.541_176.941,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,106040.5,600,600,600,600,600,600,104535.2,600,600,600,600,30251.47,58106.84,52523.82,600,84687.63,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,106040.5,600,600,600,600,600,600,104535.2,600,600,600,600,30251.47,58106.84,52523.82,600,84687.63,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,106040.5,600,600,600,600,600,600,104535.2,600,600,600,600,30251.47,58106.84,52523.82,600,84687.63,600,600,600
666_2.316_176.9415,600,600,600,600,119102.4,600,262716.7,600,600,600,600,600,600,600,600,600,600,600,600,600,106925.1,600,600,600,600,600,600,600,78633.23,600,600,600,600,600,600,600,600,600,600,119102.4,600,262716.7,600,600,600,600,600,600,600,600,600,600,600,600,600,106925.1,600,600,600,600,600,600,600,78633.23,600,600,600,600,600,600,600,600,600,600,119102.4,600,262716.7,600,600,600,600,600,600,600,600,600,600,600,600,600,106925.1,600,600,600,600,600,600,600,78633.23,600,600,600,600,600,600
667_1.528_176.9667,86416.19,12438.07,52955.47,75343.91,600,600,44621.82,75479.54,600,600,73361.63,33400.26,84870.34,600,600,600,39300.91,63700.32,90615.34,600,26979.36,73203.05,600,600,28427.04,65128.05,66572.52,600,12426.25,21901.02,600,600,29496,112958.3,600,86416.19,12438.07,52955.47,75343.91,600,600,44621.82,75479.54,600,600,73361.63,33400.26,84870.34,600,600,600,39300.91,63700.32,90615.34,600,26979.36,73203.05,600,600,28427.04,65128.05,66572.52,600,12426.25,21901.02,600,600,29496,112958.3,600,86416.19,12438.07,52955.47,75343.91,600,600,44621.82,75479.54,600,600,73361.63,33400.26,84870.34,600,600,600,39300.91,63700.32,90615.34,600,26979.36,73203.05,600,600,28427.04,65128.05,66572.52,600,12426.25,21901.02,600,600,29496,112958.3,600
668_0.949_178.9735,255658.4,600,404875.3,167550.3,600,600,240450.4,180099.8,271988.6,168277.6,234543.4,279674.2,207774.8,278056.1,600,152719.4,159816,230016.8,78327.44,195951.3,600,183851.3,39117.18,600,276295.7,219410.2,192789.4,402173.4,600,600,186323,244072.6,220282.1,159086.2,600,255658.4,600,404875.3,167550.3,600,600,240450.4,180099.8,271988.6,168277.6,234543.4,279674.2,207774.8,278056.1,600,152719.4,159816,230016.8,78327.44,195951.3,600,183851.3,39117.18,600,276295.7,219410.2,192789.4,402173.4,600,600,186323,244072.6,220282.1,159086.2,600,255658.4,600,404875.3,167550.3,600,600,240450.4,180099.8,271988.6,168277.6,234543.4,279674.2,207774.8,278056.1,600,152719.4,159816,230016.8,78327.44,195951.3,600,183851.3,39117.18,600,276295.7,219410.2,192789.4,402173.4,600,600,186323,244072.6,220282.1,159086.2,600
669_1.615_178.9737,65120.85,203358.3,600,600,168607.8,724968.6,600,600,600,144695.6,600,12865.03,600,600,600,600,600,600,600,600,259529.7,600,600,600,600,600,600,6532.987,2523.724,600,600,600,600,600,600,65120.85,203358.3,600,600,168607.8,724968.6,600,600,600,144695.6,600,12865.03,600,600,600,600,600,600,600,600,259529.7,600,600,600,600,600,600,6532.987,2523.724,600,600,600,600,600,600,65120.85,203358.3,600,600,168607.8,724968.6,600,600,600,144695.6,600,12865.03,600,600,600,600,600,600,600,600,259529.7,600,600,600,600,600,600,6532.987,2523.724,600,600,600,600,600,600
670_0.543_178.9831,301287,600,125634.8,297396.1,44354.96,600,134255.9,119065.5,105253.5,600,175276.5,175641.9,115257.5,94946.88,169968.8,104087.1,139164.7,159278.8,166093.7,600,600,142133.8,29186.01,600,95946.35,98653.45,173197.5,600,600,600,159514.9,94657.92,89201.32,145922.8,95245.13,301287,600,125634.8,297396.1,44354.96,600,134255.9,119065.5,105253.5,600,175276.5,175641.9,115257.5,94946.88,169968.8,104087.1,139164.7,159278.8,166093.7,600,600,142133.8,29186.01,600,95946.35,98653.45,173197.5,600,600,600,159514.9,94657.92,89201.32,145922.8,95245.13,301287,600,125634.8,297396.1,44354.96,600,134255.9,119065.5,105253.5,600,175276.5,175641.9,115257.5,94946.88,169968.8,104087.1,139164.7,159278.8,166093.7,600,600,142133.8,29186.01,600,95946.35,98653.45,173197.5,600,600,600,159514.9,94657.92,89201.32,145922.8,95245.13
671_3.085_179.0815,22512.01,600,600,600,600,600,30368.11,41132.21,600,600,600,34401.34,39342.42,600,600,248124.8,72890,27431.03,23788.21,600,17411.22,37773.87,27710.8,26015.65,38667.72,51540.99,26841.38,34693.2,71131.25,600,600,600,43803.52,59426.7,44573.82,22512.01,600,600,600,600,600,30368.11,41132.21,600,600,600,34401.34,39342.42,600,600,248124.8,72890,27431.03,23788.21,600,17411.22,37773.87,27710.8,26015.65,38667.72,51540.99,26841.38,34693.2,71131.25,600,600,600,43803.52,59426.7,44573.82,22512.01,600,600,600,600,600,30368.11,41132.21,600,600,600,34401.34,39342.42,600,600,248124.8,72890,27431.03,23788.21,600,17411.22,37773.87,27710.8,26015.65,38667.72,51540.99,26841.38,34693.2,71131.25,600,600,600,43803.52,59426.7,44573.82
672_1.718_181.074,47114.42,600,66834.69,82332.72,600,600,5159,600,105608.4,600,600,66898.78,71123,32875.78,52149.08,600,133950.3,600,10921.67,60359.22,600,54933.61,11735.29,600,600,45328.41,70046.76,600,600,11604,15962.13,15498.33,54711.3,72563.43,119173.1,47114.42,600,66834.69,82332.72,600,600,5159,600,105608.4,600,600,66898.78,71123,32875.78,52149.08,600,133950.3,600,10921.67,60359.22,600,54933.61,11735.29,600,600,45328.41,70046.76,600,600,11604,15962.13,15498.33,54711.3,72563.43,119173.1,47114.42,600,66834.69,82332.72,600,600,5159,600,105608.4,600,600,66898.78,71123,32875.78,52149.08,600,133950.3,600,10921.67,60359.22,600,54933.61,11735.29,600,600,45328.41,70046.76,600,600,11604,15962.13,15498.33,54711.3,72563.43,119173.1
673_0.801_181.9093,109689.5,184007.8,143539.9,239551.6,287458.9,128226.2,95231.09,127680.2,76041.63,100926.4,110047.9,126356.9,134923,87878.73,84849.94,70425.13,74398.81,149299.5,110763.7,169676.5,191012.9,166116.2,86348.27,106277.6,147569.8,181261.7,188551.1,160721,242096,136173.4,85921.16,83776.2,79883.71,161933.3,114344.6,109689.5,184007.8,143539.9,239551.6,287458.9,128226.2,95231.09,127680.2,76041.63,100926.4,110047.9,126356.9,134923,87878.73,84849.94,70425.13,74398.81,149299.5,110763.7,169676.5,191012.9,166116.2,86348.27,106277.6,147569.8,181261.7,188551.1,160721,242096,136173.4,85921.16,83776.2,79883.71,161933.3,114344.6,109689.5,184007.8,143539.9,239551.6,287458.9,128226.2,95231.09,127680.2,76041.63,100926.4,110047.9,126356.9,134923,87878.73,84849.94,70425.13,74398.81,149299.5,110763.7,169676.5,191012.9,166116.2,86348.27,106277.6,147569.8,181261.7,188551.1,160721,242096,136173.4,85921.16,83776.2,79883.71,161933.3,114344.6
674_0.761_181.9553,577426.3,1403830,1153965,543861.5,795401.2,1400035,439932.3,1478121,410518.6,618607.3,1183891,1002507,1173096,899809.1,1160017,202814.8,229443,666346.5,127029,1227002,732275.3,750669.9,109051,124846.3,1165571,1313561,1581311,1212134,1066548,113184.6,467982.3,644810.1,472619.5,237084.7,546834.7,577426.3,1403830,1153965,543861.5,795401.2,1400035,439932.3,1478121,410518.6,618607.3,1183891,1002507,1173096,899809.1,1160017,202814.8,229443,666346.5,127029,1227002,732275.3,750669.9,109051,124846.3,1165571,1313561,1581311,1212134,1066548,113184.6,467982.3,644810.1,472619.5,237084.7,546834.7,577426.3,1403830,1153965,543861.5,795401.2,1400035,439932.3,1478121,410518.6,618607.3,1183891,1002507,1173096,899809.1,1160017,202814.8,229443,666346.5,127029,1227002,732275.3,750669.9,109051,124846.3,1165571,1313561,1581311,1212134,1066548,113184.6,467982.3,644810.1,472619.5,237084.7,546834.7
675_6.037_182.071,69096.44,85437.14,46528.98,90571.95,50207.55,54763.29,49759.5,100516.9,40235.61,52969.63,55934.94,46384.2,50561.36,55814.11,61801.94,91059.27,51649.61,45810.74,61174.96,138716.1,107965.8,108388.3,65612.2,52408.02,94390.23,90213.48,65015.52,53215.34,56507.83,52291.83,92102.27,96298.41,71311.05,38757.34,34933.05,69096.44,85437.14,46528.98,90571.95,50207.55,54763.29,49759.5,100516.9,40235.61,52969.63,55934.94,46384.2,50561.36,55814.11,61801.94,91059.27,51649.61,45810.74,61174.96,138716.1,107965.8,108388.3,65612.2,52408.02,94390.23,90213.48,65015.52,53215.34,56507.83,52291.83,92102.27,96298.41,71311.05,38757.34,34933.05,69096.44,85437.14,46528.98,90571.95,50207.55,54763.29,49759.5,100516.9,40235.61,52969.63,55934.94,46384.2,50561.36,55814.11,61801.94,91059.27,51649.61,45810.74,61174.96,138716.1,107965.8,108388.3,65612.2,52408.02,94390.23,90213.48,65015.52,53215.34,56507.83,52291.83,92102.27,96298.41,71311.05,38757.34,34933.05
676_3.865_182.0921,64825.16,44415.15,41406.02,600,45331.24,51871.78,51575.18,35255.46,44335.75,65802.34,56687.7,61198.94,50402.45,69822.62,50123.92,59839.37,63670.19,57777.34,66544.13,68155.45,37260.11,52902.9,56348.39,49366.02,39692.04,52472.09,43329.55,40377.42,66532.54,39921.64,47795.06,54211.01,42141.77,38578.5,600,64825.16,44415.15,41406.02,600,45331.24,51871.78,51575.18,35255.46,44335.75,65802.34,56687.7,61198.94,50402.45,69822.62,50123.92,59839.37,63670.19,57777.34,66544.13,68155.45,37260.11,52902.9,56348.39,49366.02,39692.04,52472.09,43329.55,40377.42,66532.54,39921.64,47795.06,54211.01,42141.77,38578.5,600,64825.16,44415.15,41406.02,600,45331.24,51871.78,51575.18,35255.46,44335.75,65802.34,56687.7,61198.94,50402.45,69822.62,50123.92,59839.37,63670.19,57777.34,66544.13,68155.45,37260.11,52902.9,56348.39,49366.02,39692.04,52472.09,43329.55,40377.42,66532.54,39921.64,47795.06,54211.01,42141.77,38578.5,600
677_0.495_183.962,122740.1,73947.78,70932.13,97828.48,66440.94,59023.96,78746.17,72740.88,73060.31,50960.8,63793.96,61937.38,59930.07,55107.73,51924.2,65002.22,46227.64,50598.79,49676.56,67371.63,33664.44,72089.52,45989.81,55222.56,63359.39,38867.54,37266.07,37204.92,38061.79,40294.99,39594.29,35203.3,40594.35,32192.84,30523.77,122740.1,73947.78,70932.13,97828.48,66440.94,59023.96,78746.17,72740.88,73060.31,50960.8,63793.96,61937.38,59930.07,55107.73,51924.2,65002.22,46227.64,50598.79,49676.56,67371.63,33664.44,72089.52,45989.81,55222.56,63359.39,38867.54,37266.07,37204.92,38061.79,40294.99,39594.29,35203.3,40594.35,32192.84,30523.77,122740.1,73947.78,70932.13,97828.48,66440.94,59023.96,78746.17,72740.88,73060.31,50960.8,63793.96,61937.38,59930.07,55107.73,51924.2,65002.22,46227.64,50598.79,49676.56,67371.63,33664.44,72089.52,45989.81,55222.56,63359.39,38867.54,37266.07,37204.92,38061.79,40294.99,39594.29,35203.3,40594.35,32192.84,30523.77
678_5.488_184.1209,65634.09,7127.034,11193.8,88099.02,68725.67,600,34977.7,140993.7,51913.07,75849.84,47288.78,72923.51,600,49326.03,10933.87,31415.16,58331.38,22031.91,11353.35,62541.64,12061.6,107110.3,78658.06,6330.867,3344.723,79311.19,5275.166,81653.48,83702.41,60613.44,5409.019,64313.67,29465.17,69231,9885.099,65634.09,7127.034,11193.8,88099.02,68725.67,600,34977.7,140993.7,51913.07,75849.84,47288.78,72923.51,600,49326.03,10933.87,31415.16,58331.38,22031.91,11353.35,62541.64,12061.6,107110.3,78658.06,6330.867,3344.723,79311.19,5275.166,81653.48,83702.41,60613.44,5409.019,64313.67,29465.17,69231,9885.099,65634.09,7127.034,11193.8,88099.02,68725.67,600,34977.7,140993.7,51913.07,75849.84,47288.78,72923.51,600,49326.03,10933.87,31415.16,58331.38,22031.91,11353.35,62541.64,12061.6,107110.3,78658.06,6330.867,3344.723,79311.19,5275.166,81653.48,83702.41,60613.44,5409.019,64313.67,29465.17,69231,9885.099
679_7.607_184.1465,600,600,600,600,35774.91,600,600,600,600,38298.36,38130.73,14452.74,36789.28,34639.68,600,36236.83,49271.36,34746.2,37061.57,36740.52,35261.71,600,600,31943.93,31159.27,600,600,36299.09,34952.64,600,34558.74,35614.61,15499.07,31901.93,34135.38,600,600,600,600,35774.91,600,600,600,600,38298.36,38130.73,14452.74,36789.28,34639.68,600,36236.83,49271.36,34746.2,37061.57,36740.52,35261.71,600,600,31943.93,31159.27,600,600,36299.09,34952.64,600,34558.74,35614.61,15499.07,31901.93,34135.38,600,600,600,600,35774.91,600,600,600,600,38298.36,38130.73,14452.74,36789.28,34639.68,600,36236.83,49271.36,34746.2,37061.57,36740.52,35261.71,600,600,31943.93,31159.27,600,600,36299.09,34952.64,600,34558.74,35614.61,15499.07,31901.93,34135.38
680_6.041_185.2143,35839.63,70141.8,7635.728,26853.54,65583.92,51843.01,134861.9,9337.724,600,6975.15,52628.43,4431.156,96288.25,3502.53,20326.94,4296.574,5531.638,139473.5,5462.47,11548.54,107585.1,43076.38,600,3042.708,79699.11,600,600,600,2479.489,44738.8,600,8291.56,68439.78,600,88243.43,35839.63,70141.8,7635.728,26853.54,65583.92,51843.01,134861.9,9337.724,600,6975.15,52628.43,4431.156,96288.25,3502.53,20326.94,4296.574,5531.638,139473.5,5462.47,11548.54,107585.1,43076.38,600,3042.708,79699.11,600,600,600,2479.489,44738.8,600,8291.56,68439.78,600,88243.43,35839.63,70141.8,7635.728,26853.54,65583.92,51843.01,134861.9,9337.724,600,6975.15,52628.43,4431.156,96288.25,3502.53,20326.94,4296.574,5531.638,139473.5,5462.47,11548.54,107585.1,43076.38,600,3042.708,79699.11,600,600,600,2479.489,44738.8,600,8291.56,68439.78,600,88243.43
681_1.571_187.0851,116696,600,146894.1,21271.82,600,600,27264.17,196826.3,210895.3,7009.374,96358.69,151854.6,109386.9,95723.38,47980.73,86533.59,75979.91,600,54728.02,149569,600,125074.3,27843.42,9472.176,137374.4,146192.9,52946.33,14512.49,11363.06,600,33668.8,46448.64,150266.2,600,217853.4,116696,600,146894.1,21271.82,600,600,27264.17,196826.3,210895.3,7009.374,96358.69,151854.6,109386.9,95723.38,47980.73,86533.59,75979.91,600,54728.02,149569,600,125074.3,27843.42,9472.176,137374.4,146192.9,52946.33,14512.49,11363.06,600,33668.8,46448.64,150266.2,600,217853.4,116696,600,146894.1,21271.82,600,600,27264.17,196826.3,210895.3,7009.374,96358.69,151854.6,109386.9,95723.38,47980.73,86533.59,75979.91,600,54728.02,149569,600,125074.3,27843.42,9472.176,137374.4,146192.9,52946.33,14512.49,11363.06,600,33668.8,46448.64,150266.2,600,217853.4
682_1.619_187.0866,37525.82,600,52890.16,127895.3,600,600,80212.84,600,600,600,600,600,600,600,600,162718.5,135552,600,98499.91,600,600,600,600,600,600,600,83303.31,600,600,600,600,600,600,126457.9,600,37525.82,600,52890.16,127895.3,600,600,80212.84,600,600,600,600,600,600,600,600,162718.5,135552,600,98499.91,600,600,600,600,600,600,600,83303.31,600,600,600,600,600,600,126457.9,600,37525.82,600,52890.16,127895.3,600,600,80212.84,600,600,600,600,600,600,600,600,162718.5,135552,600,98499.91,600,600,600,600,600,600,600,83303.31,600,600,600,600,600,600,126457.9,600
683_0.874_187.9257,456056.1,61808.41,173968.1,162756.8,16489.31,63915.58,132123.6,221935,151362.2,132108.6,300634.6,600,600,172596.3,278800.6,112458.3,115947.9,198285.7,600,196766.7,600,189284,89121.35,93724.63,233776.8,151973.9,253672.8,600,6290.956,600,133619.8,141717.8,189781.3,600,181131.6,456056.1,61808.41,173968.1,162756.8,16489.31,63915.58,132123.6,221935,151362.2,132108.6,300634.6,600,600,172596.3,278800.6,112458.3,115947.9,198285.7,600,196766.7,600,189284,89121.35,93724.63,233776.8,151973.9,253672.8,600,6290.956,600,133619.8,141717.8,189781.3,600,181131.6,456056.1,61808.41,173968.1,162756.8,16489.31,63915.58,132123.6,221935,151362.2,132108.6,300634.6,600,600,172596.3,278800.6,112458.3,115947.9,198285.7,600,196766.7,600,189284,89121.35,93724.63,233776.8,151973.9,253672.8,600,6290.956,600,133619.8,141717.8,189781.3,600,181131.6
684_7.175_188.1202,65234.9,58100.73,59375.52,55627.69,59969.97,59169.33,59704.62,54107.3,47782.28,77089.78,67803.91,48894.02,71447.18,76614.53,73834.53,65629.08,65758.56,69547.08,67876.09,63057.13,68601.41,67841.19,73414.14,68354.34,61282.48,70187.48,71795.77,70117.59,70973.6,67742.57,64896.66,63099.38,52126.06,64421.16,50288.07,65234.9,58100.73,59375.52,55627.69,59969.97,59169.33,59704.62,54107.3,47782.28,77089.78,67803.91,48894.02,71447.18,76614.53,73834.53,65629.08,65758.56,69547.08,67876.09,63057.13,68601.41,67841.19,73414.14,68354.34,61282.48,70187.48,71795.77,70117.59,70973.6,67742.57,64896.66,63099.38,52126.06,64421.16,50288.07,65234.9,58100.73,59375.52,55627.69,59969.97,59169.33,59704.62,54107.3,47782.28,77089.78,67803.91,48894.02,71447.18,76614.53,73834.53,65629.08,65758.56,69547.08,67876.09,63057.13,68601.41,67841.19,73414.14,68354.34,61282.48,70187.48,71795.77,70117.59,70973.6,67742.57,64896.66,63099.38,52126.06,64421.16,50288.07
685_3.325_191.1308,185462.8,600,600,600,49094.43,600,180915.6,154459.2,600,600,177688.9,156025.8,159020.5,154060.2,194719.6,600,172264.6,152082.3,179523.7,146762.6,600,183847.4,600,600,156365.8,179475.8,161449.6,600,26872.5,600,178688,204220.6,139636.6,164330.9,157260.2,185462.8,600,600,600,49094.43,600,180915.6,154459.2,600,600,177688.9,156025.8,159020.5,154060.2,194719.6,600,172264.6,152082.3,179523.7,146762.6,600,183847.4,600,600,156365.8,179475.8,161449.6,600,26872.5,600,178688,204220.6,139636.6,164330.9,157260.2,185462.8,600,600,600,49094.43,600,180915.6,154459.2,600,600,177688.9,156025.8,159020.5,154060.2,194719.6,600,172264.6,152082.3,179523.7,146762.6,600,183847.4,600,600,156365.8,179475.8,161449.6,600,26872.5,600,178688,204220.6,139636.6,164330.9,157260.2
686_7.957_191.1311,240761.6,85346.64,81501.7,37988.38,44058.03,102271.3,48352.11,61554.07,63582.63,49922.54,80465.97,59433.95,36887.97,40331.65,22306.89,46091.55,24965.51,38350.46,38244.63,182653.1,61989.61,66851.76,36840.6,59002.59,224139.3,322087.7,221086.8,560222.3,19027.46,58274.12,19998.23,19778.52,32346.68,155189.2,40810.64,240761.6,85346.64,81501.7,37988.38,44058.03,102271.3,48352.11,61554.07,63582.63,49922.54,80465.97,59433.95,36887.97,40331.65,22306.89,46091.55,24965.51,38350.46,38244.63,182653.1,61989.61,66851.76,36840.6,59002.59,224139.3,322087.7,221086.8,560222.3,19027.46,58274.12,19998.23,19778.52,32346.68,155189.2,40810.64,240761.6,85346.64,81501.7,37988.38,44058.03,102271.3,48352.11,61554.07,63582.63,49922.54,80465.97,59433.95,36887.97,40331.65,22306.89,46091.55,24965.51,38350.46,38244.63,182653.1,61989.61,66851.76,36840.6,59002.59,224139.3,322087.7,221086.8,560222.3,19027.46,58274.12,19998.23,19778.52,32346.68,155189.2,40810.64
687_0.746_191.9281,564038.4,903938.3,714183.2,1469880,50154.07,622737.6,690834.7,645921.9,520502.3,575152,686763.5,792455.7,696463.8,637199.6,509338,691733.4,740852.9,982614.5,1035931,862670.6,1030335,904301.8,48922.97,600,683049.8,795490.9,875058,563820.6,1122658,831431.6,472755.3,600,483666.3,943426.9,543077,564038.4,903938.3,714183.2,1469880,50154.07,622737.6,690834.7,645921.9,520502.3,575152,686763.5,792455.7,696463.8,637199.6,509338,691733.4,740852.9,982614.5,1035931,862670.6,1030335,904301.8,48922.97,600,683049.8,795490.9,875058,563820.6,1122658,831431.6,472755.3,600,483666.3,943426.9,543077,564038.4,903938.3,714183.2,1469880,50154.07,622737.6,690834.7,645921.9,520502.3,575152,686763.5,792455.7,696463.8,637199.6,509338,691733.4,740852.9,982614.5,1035931,862670.6,1030335,904301.8,48922.97,600,683049.8,795490.9,875058,563820.6,1122658,831431.6,472755.3,600,483666.3,943426.9,543077
688_0.465_191.9282,56190.84,600,600,368460.2,2320216,63450.66,446718.2,225776.4,77239.79,60939.06,600,600,600,370651.5,106469.1,600,600,600,600,600,600,600,72482.08,57734.08,600,600,600,29862.68,49586.48,91524.55,600,290619.2,600,600,600,56190.84,600,600,368460.2,2320216,63450.66,446718.2,225776.4,77239.79,60939.06,600,600,600,370651.5,106469.1,600,600,600,600,600,600,600,72482.08,57734.08,600,600,600,29862.68,49586.48,91524.55,600,290619.2,600,600,600,56190.84,600,600,368460.2,2320216,63450.66,446718.2,225776.4,77239.79,60939.06,600,600,600,370651.5,106469.1,600,600,600,600,600,600,600,72482.08,57734.08,600,600,600,29862.68,49586.48,91524.55,600,290619.2,600,600,600
689_4.375_192.1334,600,600,318427,600,600,99761.97,600,600,600,600,600,241741.4,600,19217.19,600,600,600,600,600,600,15340.11,600,600,254687.6,15798.6,600,600,600,600,600,600,600,600,600,600,600,600,318427,600,600,99761.97,600,600,600,600,600,241741.4,600,19217.19,600,600,600,600,600,600,15340.11,600,600,254687.6,15798.6,600,600,600,600,600,600,600,600,600,600,600,600,318427,600,600,99761.97,600,600,600,600,600,241741.4,600,19217.19,600,600,600,600,600,600,15340.11,600,600,254687.6,15798.6,600,600,600,600,600,600,600,600,600,600
690_4.51_192.136,600,600,600,257464.1,600,600,467148.5,408226.3,600,346431.8,361041.5,600,406544.1,600,259160.4,600,384399.7,416511.8,600,600,362039.9,189525.8,600,600,600,600,600,600,600,600,600,600,600,600,295257.3,600,600,600,257464.1,600,600,467148.5,408226.3,600,346431.8,361041.5,600,406544.1,600,259160.4,600,384399.7,416511.8,600,600,362039.9,189525.8,600,600,600,600,600,600,600,600,600,600,600,600,295257.3,600,600,600,257464.1,600,600,467148.5,408226.3,600,346431.8,361041.5,600,406544.1,600,259160.4,600,384399.7,416511.8,600,600,362039.9,189525.8,600,600,600,600,600,600,600,600,600,600,600,600,295257.3
691_4.489_192.1361,600,875291,600,600,1334053,901444.2,600,600,600,600,976823.7,600,1284335,600,759741.4,600,600,600,600,777702,1194568,966146.3,600,600,600,600,600,600,600,851586.5,600,600,600,600,1302216,600,875291,600,600,1334053,901444.2,600,600,600,600,976823.7,600,1284335,600,759741.4,600,600,600,600,777702,1194568,966146.3,600,600,600,600,600,600,600,851586.5,600,600,600,600,1302216,600,875291,600,600,1334053,901444.2,600,600,600,600,976823.7,600,1284335,600,759741.4,600,600,600,600,777702,1194568,966146.3,600,600,600,600,600,600,600,851586.5,600,600,600,600,1302216
692_4.444_192.1361,600,600,600,600,1314586,600,1785985,600,600,600,600,600,600,600,600,600,600,1794520,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,1314586,600,1785985,600,600,600,600,600,600,600,600,600,600,1794520,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,1314586,600,1785985,600,600,600,600,600,600,600,600,600,600,1794520,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600
693_4.446_192.1362,600,600,600,600,503254.2,264151.7,430605.5,600,600,378861.3,600,600,575372.9,600,600,600,600,600,600,600,495442.1,600,600,600,552431,600,600,600,600,600,600,600,600,600,640032.3,600,600,600,600,503254.2,264151.7,430605.5,600,600,378861.3,600,600,575372.9,600,600,600,600,600,600,600,495442.1,600,600,600,552431,600,600,600,600,600,600,600,600,600,640032.3,600,600,600,600,503254.2,264151.7,430605.5,600,600,378861.3,600,600,575372.9,600,600,600,600,600,600,600,495442.1,600,600,600,552431,600,600,600,600,600,600,600,600,600,640032.3
694_4.535_192.1363,600,843842.6,600,670153.8,600,789784.6,676258.6,600,600,600,1086649,600,600,600,851274.6,600,600,672446.4,600,790422.4,1156324,917474.7,600,600,1145075,600,600,600,600,930352.4,600,600,600,600,1220409,600,843842.6,600,670153.8,600,789784.6,676258.6,600,600,600,1086649,600,600,600,851274.6,600,600,672446.4,600,790422.4,1156324,917474.7,600,600,1145075,600,600,600,600,930352.4,600,600,600,600,1220409,600,843842.6,600,670153.8,600,789784.6,676258.6,600,600,600,1086649,600,600,600,851274.6,600,600,672446.4,600,790422.4,1156324,917474.7,600,600,1145075,600,600,600,600,930352.4,600,600,600,600,1220409
695_4.51_192.1363,247994.3,600,215369.1,600,600,244545.3,600,266618.5,600,600,200576.8,196439.8,600,199448.1,600,192024.9,600,600,238980.3,600,600,268674.8,600,153241,600,600,600,600,600,246588.1,118119.3,203806.5,600,600,600,247994.3,600,215369.1,600,600,244545.3,600,266618.5,600,600,200576.8,196439.8,600,199448.1,600,192024.9,600,600,238980.3,600,600,268674.8,600,153241,600,600,600,600,600,246588.1,118119.3,203806.5,600,600,600,247994.3,600,215369.1,600,600,244545.3,600,266618.5,600,600,200576.8,196439.8,600,199448.1,600,192024.9,600,600,238980.3,600,600,268674.8,600,153241,600,600,600,600,600,246588.1,118119.3,203806.5,600,600,600
